"code","name","name_eng","base_year","C행정구역별_읍면동","행정구역별_읍면동","시점","총인구_명","남자_명","여자_명","내국인_계_명","내국인_남자_명","내국인_여자_명","외국인_계_명","외국인_남자_명","외국인_여자_명","가구_계_가구","일반가구_가구","집단가구_가구","외국인가구_가구","주택_계_호","단독주택_호","아파트_호","연립주택_호","다세대주택_호","비거주용_건물내_주택_호","주택이외의_거처_호"
"34330","부여군","Buyeo-gun","2010","34330"," 부여군",2010,67584,32552,35032,67102,32324,34778,482,228,254,27200,27059,39,102,28469,23477,3399,1068,110,415,200
"34320","연기군","Yeongi-gun","2010","34320"," 연기군",2010,81447,41929,39518,80542,41371,39171,905,558,347,29584,29268,61,255,27788,13326,13056,655,361,390,231
"34310","금산군","Geumsan-gun","2010","34310"," 금산군",2010,52952,25982,26970,52442,25796,26646,510,186,324,21050,20931,44,75,21491,15614,4256,530,757,334,157
"34070","계룡시","Gyeryong-si","2010","34070"," 계룡시",2010,41528,20758,20770,41395,20707,20688,133,51,82,13284,13240,10,34,14041,1330,12620,21,7,63,240
"34060","논산시","Nonsan-si","2010","34060"," 논산시",2010,119222,58483,60739,117686,57703,59983,1536,780,756,45396,44745,95,556,44528,29442,12590,1336,544,616,344
"34050","서산시","Seosan-si","2010","34050"," 서산시",2010,156843,80700,76143,155082,79691,75391,1761,1009,752,58935,58274,100,561,55460,22583,27741,2711,1844,581,364
"34040","아산시","Asan-si","2010","34040"," 아산시",2010,278676,144119,134557,272282,139990,132292,6394,4129,2265,96533,94579,291,1663,92738,24470,62867,2101,2524,776,585
"34030","보령시","Boryeong-si","2010","34030"," 보령시",2010,97770,48539,49231,97091,48142,48949,679,397,282,38728,38503,42,183,38973,22834,13867,1259,346,667,333
"34020","공주시","Gongju-si","2010","34020"," 공주시",2010,122153,59745,62408,120660,59058,61602,1493,687,806,44770,44317,109,344,42594,25778,14397,1330,512,577,482
"34012","서북구","Seobuk-gu","2010","34012"," 서북구",2010,317143,163060,154083,311612,159419,152193,5531,3641,1890,114808,112908,227,1673,93016,13896,73257,1651,3439,773,1487
"34011","동남구","Dongnam-gu","2010","34011"," 동남구",2010,257480,130316,127164,253589,128128,125461,3891,2188,1703,94807,93371,163,1273,81141,19918,53870,2208,4141,1004,1736
"33390","증평군","Jeungpyeong-gun","2010","33390"," 증평군",2010,31531,15855,15676,31204,15678,15526,327,177,150,11665,11559,11,95,11812,3930,6976,566,128,212,28
"33380","단양군","Danyang-gun","2010","33380"," 단양군",2010,28165,13887,14278,28009,13834,14175,156,53,103,11631,11585,22,24,12510,8659,2297,1093,124,337,125
"33370","음성군","Eumseong-gun","2010","33370"," 음성군",2010,84088,44178,39910,81645,42415,39230,2443,1763,680,30756,30037,148,571,32139,15393,14114,1756,337,539,270
"33360","괴산군","Goesan-gun","2010","33360"," 괴산군",2010,31392,15266,16126,31116,15100,16016,276,166,110,13441,13330,35,76,14796,13133,792,306,343,222,124
"33350","진천군","Jincheon-gun","2010","33350"," 진천군",2010,61915,32602,29313,59324,30623,28701,2591,1979,612,23395,22603,97,695,22983,10741,9369,1828,678,367,211
"33340","영동군","Yeongdong-gun","2010","33340"," 영동군",2010,46231,22618,23613,45974,22512,23462,257,106,151,19132,19037,55,40,19754,15126,3106,1176,149,197,132
"33330","옥천군","Okcheon-gun","2010","33330"," 옥천군",2010,49730,24509,25221,49295,24270,25025,435,239,196,18994,18867,52,75,19927,13875,4623,608,600,221,168
"33320","보은군","Boeun-gun","2010","33320"," 보은군",2010,30509,14596,15913,30311,14527,15784,198,69,129,12968,12924,23,21,13852,11195,1782,476,60,339,88
"33310","청원군","Cheongwon-gun","2010","33310"," 청원군",2010,143762,72929,70833,142017,71849,70168,1745,1080,665,52711,52080,119,512,53107,24966,26247,842,591,461,329
"33030","제천시","Jecheon-si","2010","33030"," 제천시",2010,134698,67411,67287,133626,66910,66716,1072,501,571,51188,50887,63,238,47778,20063,24737,2051,203,724,279
"33020","충주시","Chungju-si","2010","33020"," 충주시",2010,203212,102103,101109,201361,100998,100363,1851,1105,746,77675,77015,101,559,71800,28895,38064,3661,490,690,370
"33012","흥덕구","Heungdeok-gu","2010","33012"," 흥덕구",2010,423072,210823,212249,420374,209518,210856,2698,1305,1393,154138,153034,119,985,120149,22765,92651,2183,1617,933,685
"33011","상당구","Sangdang-gu","2010","33011"," 상당구",2010,243852,121437,122415,241728,120388,121340,2124,1049,1075,86920,85838,79,1003,69361,17030,47796,2502,995,1038,301
"32410","양양군","Yangyang-gun","2010","32410"," 양양군",2010,25475,12967,12508,25294,12871,12423,181,96,85,10381,10313,24,44,11954,7192,3697,511,128,426,135
